Date,red_sold,blue_sold,yellow_sold
1,4,11,10
2,14,4,3
3,11,10,18
4,5,13,13
5,18,10,8
6,4,4,3
7,19,13,20
8,19,4,10
9,10,7,5
10,13,19,10
11,8,1,10
12,8,15,12
13,6,16,20
14,18,13,8
15,5,5,10
16,18,16,12
17,2,12,10
18,11,3,17
19,17,12,15
20,18,18,19
21,2,9,4
22,3,3,1
23,13,19,1
24,9,10,15
25,1,10,6
26,3,18,13
27,4,10,12
28,15,1,17
29,6,15,18
30,5,3,18
31,6,20,1
32,1,19,16
33,18,9,13
34,8,3,18
35,3,17,2
36,8,1,3
37,1,11,11
38,3,1,13
39,6,20,20
40,19,17,15
41,16,4,11
42,18,20,9
43,1,13,3
44,8,2,2
45,5,20,10
46,13,11,19
47,4,8,16
48,6,11,10
49,3,1,13
50,9,9,4
51,11,20,19
52,10,1,13
53,18,7,12
54,1,15,14
55,13,12,15
56,14,1,16
57,17,17,14
58,1,16,11
59,6,19,2
60,8,20,6
61,3,19,19
62,8,5,14
63,6,17,8
64,18,17,6
65,12,17,2
66,15,8,4
67,2,9,7
68,9,7,9
69,11,10,9
70,19,11,8
71,3,3,9
72,17,16,14
73,20,12,15
74,18,20,17
75,19,16,2
76,19,14,12
77,8,15,3
78,16,6,8
79,14,8,20
80,12,7,10
81,4,6,12
82,17,16,5
83,18,14,19
84,20,16,4
85,10,8,8
86,13,8,13
87,4,4,3
88,8,13,6
89,18,11,17
90,10,19,5
91,10,16,20
92,2,2,11
93,19,7,16
94,1,5,1
95,8,14,19
96,20,19,1
97,1,6,16
98,16,11,1
99,9,16,4
100,8,1,15
101,3,9,14
102,9,8,19
103,14,14,3
104,15,11,3
105,12,8,20
106,6,10,10
107,13,18,16
108,7,1,14
109,17,10,5
110,2,9,7
111,9,6,3
112,20,9,4
113,9,12,13
114,4,6,2
115,1,5,15
116,5,3,16
117,3,9,5
118,6,1,18
119,14,3,18
120,11,10,19
121,9,6,10
122,19,10,8
123,16,2,4
124,7,13,17
125,3,7,12
126,7,20,16
127,20,11,9
128,2,19,10
129,9,9,18
130,7,16,6
131,13,20,16
132,8,16,6
133,3,4,8
134,12,3,10
135,8,8,20
136,8,10,2
137,3,1,20
138,2,7,19
139,16,18,13
140,5,12,14
141,17,3,6
142,7,7,15
143,3,18,8
144,17,13,5
145,7,11,14
146,17,12,3
147,20,6,14
148,20,12,2
149,8,7,20
150,11,7,6
151,13,6,19
152,12,17,14
153,1,13,9
154,4,20,9
155,5,20,3
156,11,17,16
157,1,8,8
158,17,13,9
159,9,7,9
160,10,10,16
161,13,5,17
162,10,4,17
163,4,18,7
164,20,18,17
165,3,12,16
166,8,7,1
167,4,11,11
168,11,15,9
169,4,12,3
170,12,10,15
171,16,16,16
172,11,16,3
173,6,8,7
