Date,red_sold,blue_sold,yellow_sold
1,13,20,20
2,19,2,11
3,3,7,9
4,12,6,3
5,13,8,17
6,15,2,14
7,19,7,19
8,15,2,9
9,20,9,10
10,6,14,6
11,13,11,6
12,6,5,20
13,13,12,11
14,18,12,5
15,15,3,1
16,14,8,7
17,10,5,20
18,16,10,2
19,13,3,17
20,11,4,5
21,15,15,9
22,6,14,2
23,2,3,17
24,20,1,6
25,18,10,18
26,12,17,14
27,6,11,10
28,17,4,14
29,19,3,14
30,14,11,4
31,8,19,1
32,11,10,20
33,8,7,1
34,6,16,19
35,12,4,9
36,14,18,1
37,6,12,16
38,5,17,8
39,12,9,10
40,13,15,8
41,19,8,10
42,16,1,3
43,7,2,10
44,9,16,2
45,7,7,1
46,20,10,1
47,2,11,13
48,11,7,1
49,1,13,14
50,18,3,8
51,4,2,12
52,10,5,11
53,17,19,15
54,19,15,1
55,18,19,10
56,17,7,5
57,2,18,11
58,17,2,9
59,4,9,14
60,7,15,14
61,18,13,10
62,20,18,14
63,15,10,3
64,19,2,1
65,10,10,9
66,13,6,19
67,17,13,20
68,7,14,11
69,6,4,6
70,16,6,12
71,7,18,13
72,2,12,17
73,4,3,16
74,17,14,11
75,14,14,7
76,17,20,8
77,6,4,13
78,12,13,14
79,2,12,20
80,11,3,3
81,2,16,20
82,13,17,1
83,18,2,10
84,2,20,8
85,20,7,2
86,17,4,13
87,13,6,3
88,3,2,13
89,3,8,3
90,5,8,3
91,12,19,5
92,10,11,16
93,20,18,6
94,11,4,14
95,18,13,1
96,20,19,17
97,11,17,1
98,16,2,2
99,16,4,13
100,19,19,19
101,19,3,10
102,5,8,4
103,17,7,12
104,1,2,10
105,19,10,11
106,18,17,1
107,16,9,5
108,18,20,15
109,6,2,17
110,8,1,4
111,20,7,7
112,2,1,19
113,16,6,15
114,17,19,20
115,7,13,19
116,14,14,19
117,18,8,10
118,8,15,1
119,9,3,2
120,6,18,7
121,6,13,10
122,19,6,18
123,11,15,7
124,19,10,19
125,8,9,11
126,3,13,1
127,20,3,19
128,3,14,7
129,19,4,3
130,10,8,20
131,15,6,18
132,7,1,15
133,14,18,13
134,5,12,17
135,2,6,15
136,17,10,12
137,11,5,12
138,19,14,2
139,9,5,13
140,10,14,3
141,16,4,4
142,8,15,1
143,18,15,6
144,18,3,16
145,10,5,1
146,12,2,2
147,17,16,19
148,8,5,5
149,7,3,6
150,18,20,9
151,19,11,18
152,7,11,2
153,16,15,16
154,8,1,19
155,13,9,17
156,2,10,16
157,14,17,18
158,13,5,18
159,12,11,4
160,5,11,17
161,8,10,8
162,12,18,12
163,18,3,8
164,16,15,13
165,16,15,9
166,3,12,8
167,6,10,15
168,3,6,5
169,4,4,5
170,20,13,2
171,11,19,3
172,1,9,11
173,4,19,1
174,19,16,13
175,12,20,2
176,6,4,14
177,5,20,18
178,4,16,6
179,10,19,7
180,19,10,11
181,2,6,9
182,8,19,20
183,12,6,10
184,18,8,2
185,15,5,20
186,8,14,1
187,4,13,4
188,11,9,20
189,15,17,11
190,3,11,2
191,7,8,7
192,5,17,10
193,20,18,10
194,1,4,4
195,1,17,19
196,16,18,2
197,5,13,16
198,5,16,20
199,18,12,10
200,16,4,4
201,4,9,13
202,18,7,2
203,16,7,17
204,13,6,15
205,18,9,14
206,1,3,20
207,20,20,20
208,5,20,11
209,2,18,16
210,4,12,20
211,17,13,3
212,1,10,2
213,14,6,15
214,3,2,17
215,11,18,8
216,9,8,14
217,4,19,2
218,2,11,5
219,13,3,13
220,19,7,6
221,8,16,9
222,10,18,20
223,16,16,1
224,1,7,7
225,16,13,13
226,15,2,18
227,1,1,3
228,7,16,10
229,17,2,6
230,11,3,20
231,4,19,18
232,11,13,9
233,19,8,12
234,13,12,15
235,11,18,12
236,12,20,4
237,14,10,15
238,2,9,10
239,10,2,6
240,10,7,8
241,19,15,19
242,17,4,18
243,1,9,1
244,5,10,20
245,15,11,12
246,7,14,7
247,16,7,6
248,9,13,1
249,11,11,2
250,12,9,16
251,8,5,16
252,12,4,20
253,17,15,2
254,10,9,18
255,1,3,6
256,5,17,13
257,4,19,14
258,18,15,14
259,10,17,7
260,12,1,17
261,18,13,20
262,15,15,8
263,19,14,19
264,6,11,12
265,2,6,15
266,13,2,4
267,15,19,1
268,5,11,16
269,5,2,2
270,13,11,20
271,18,13,15
272,5,13,2
273,11,4,14
274,8,14,10
275,3,17,6
276,12,11,2
277,1,17,2
278,15,4,3
279,17,7,14
280,4,20,4
281,3,7,3
282,11,14,3
283,5,12,20
284,11,19,2
285,20,10,16
286,13,11,18
287,15,8,12
288,10,8,4
289,9,3,16
290,5,14,1
291,9,11,3
292,18,1,20
293,20,9,19
294,17,20,13
295,1,19,7
296,20,11,1
297,15,14,14
298,7,20,12
299,12,1,3
300,1,5,20
301,1,2,8
302,8,13,14
303,18,7,7
304,10,1,2
305,14,6,17
306,15,18,2
307,14,20,12
308,7,3,19
309,14,9,5
310,15,6,9
311,11,11,17
312,2,20,8
313,2,13,1
314,4,8,8
315,14,11,12
316,4,17,9
317,11,7,5
318,8,20,13
319,15,9,6
320,3,5,1
321,4,17,16
322,1,19,13
323,9,8,16
324,11,18,2
325,17,5,8
326,3,17,20
327,6,14,11
328,12,16,12
329,16,9,11
330,10,14,13
331,9,15,18
332,16,14,2
333,17,20,13
334,7,7,16
335,16,4,2
336,16,10,4
337,15,13,5
338,12,16,6
339,3,20,12
340,15,5,7
341,1,10,11
342,16,11,18
343,16,18,19
344,19,1,3
345,10,7,2
346,13,11,1
347,4,19,8
348,13,18,7
349,14,6,6
350,5,19,6
351,12,11,4
352,20,11,1
353,10,6,5
354,8,6,19
355,3,18,2
356,19,1,8
357,9,17,13
358,16,5,4
359,13,16,11
360,9,14,4
361,7,15,8
362,13,16,10
363,11,2,11
364,2,20,6
365,6,13,10
366,16,7,8
367,20,13,13
368,19,7,1
369,4,2,1
370,3,9,14
371,17,5,13
372,19,1,8
373,5,6,10
374,13,1,6
375,5,16,4
376,12,5,14
377,8,7,5
378,1,15,16
379,6,18,13
380,6,20,18
381,5,8,20
382,7,1,12
383,16,6,3
384,1,11,16
385,19,3,16
386,9,7,11
387,13,14,19
388,16,19,20
389,3,8,15
390,15,13,19
391,10,5,10
392,5,4,7
393,17,20,19
394,17,17,17
395,18,20,6
396,4,13,3
397,5,12,16
398,5,2,4
399,4,12,8
400,8,14,13
401,1,2,12
402,18,14,3
403,17,3,9
404,1,4,9
405,14,2,7
406,6,13,2
407,4,19,20
408,6,13,1
409,15,12,13
410,3,15,1
411,20,20,3
412,9,18,14
413,5,13,13
414,1,16,16
415,10,4,1
416,7,6,1
417,7,11,8
418,16,5,19
419,14,9,7
420,14,5,6
421,10,13,6
422,2,8,10
423,14,14,6
424,4,6,11
425,17,3,18
426,5,11,9
427,19,1,1
428,6,8,2
429,16,3,18
430,18,12,19
431,5,10,9
432,14,6,14
433,5,11,5
434,7,8,9
435,4,19,9
436,20,11,12
437,20,17,4
438,6,10,8
439,5,11,20
440,11,17,5
441,12,3,1
442,16,2,6
443,10,17,9
444,12,8,1
445,17,11,7
446,9,16,1
447,10,20,14
448,15,2,19
449,4,17,11
450,5,8,5
451,9,7,20
452,1,18,12
453,16,14,15
454,13,5,10
455,1,9,5
456,1,3,8
457,13,17,10
458,2,16,10
459,1,14,6
460,17,12,1
461,8,15,6
462,7,9,16
463,18,17,14
464,13,11,6
465,16,4,8
466,17,4,1
467,2,10,7
468,3,6,16
469,5,18,20
470,17,18,4
471,11,10,19
472,19,19,14
473,20,16,12
474,13,11,19
475,1,16,15
476,7,7,8
477,3,12,9
478,2,16,10
479,2,18,12
480,11,17,10
481,10,3,3
482,7,1,19
483,18,14,15
484,7,9,6
485,15,10,17
486,13,14,20
487,12,16,4
488,13,12,12
489,16,7,14
490,4,15,20
491,5,15,10
492,18,12,20
493,14,12,15
494,20,4,4
495,19,6,19
496,10,11,15
497,19,20,19
498,9,11,9
499,5,16,6
500,15,19,18
501,18,6,2
502,12,14,19
503,15,11,6
504,5,15,3
505,3,15,16
506,13,11,12
507,10,9,19
508,1,20,12
509,6,17,19
510,14,5,12
511,17,19,7
512,19,8,10
513,9,14,7
514,17,10,5
515,19,7,6
516,10,12,7
517,1,20,15
518,12,11,1
519,5,17,14
520,11,1,7
521,5,10,10
522,2,16,14
523,2,6,18
524,20,11,13
525,9,12,3
526,15,7,6
527,20,11,12
528,14,16,13
529,14,19,19
530,20,11,20
531,8,12,12
532,3,16,1
533,11,14,10
534,16,18,15
535,19,6,16
536,13,15,9
537,11,18,14
538,4,5,16
539,15,10,9
540,11,3,4
541,1,13,8
542,9,12,5
543,14,4,19
544,20,2,9
545,16,17,5
546,3,13,18
547,16,17,2
548,11,14,2
549,18,11,16
550,16,7,14
551,1,16,16
552,16,8,10
553,14,10,20
554,11,2,18
555,1,7,11
556,8,3,11
557,14,4,11
558,13,19,13
559,17,3,8
