Date,red_sold,blue_sold,yellow_sold
1,12,14,15
2,13,1,13
3,17,8,11
4,16,16,8
5,19,13,4
6,7,6,11
7,20,11,19
8,11,11,16
9,19,19,11
10,4,11,11
11,1,14,19
12,2,2,9
13,5,3,4
14,13,15,9
15,5,4,6
16,6,14,16
17,13,7,16
18,2,16,5
19,1,3,1
20,18,3,1
21,5,11,12
22,1,12,20
23,16,12,6
24,5,4,17
25,10,2,3
26,6,17,11
27,3,19,4
28,11,17,2
29,14,9,12
30,18,9,16
31,9,3,10
32,6,17,2
33,1,7,6
34,3,13,14
35,15,13,5
36,3,11,16
37,12,3,6
38,10,1,8
39,11,2,9
40,13,9,12
41,17,15,7
42,7,19,14
43,9,14,19
44,20,12,7
45,16,12,18
46,13,12,15
47,18,10,2
48,8,4,15
49,19,13,6
50,15,12,14
51,17,20,1
52,9,15,1
53,17,10,2
54,17,15,11
55,11,16,7
56,3,14,10
57,1,8,20
58,17,2,16
59,4,4,15
60,20,13,2
61,18,7,3
62,1,18,3
63,10,19,9
64,13,20,13
65,7,9,13
66,5,13,19
67,19,18,14
68,3,7,14
69,6,5,19
70,8,7,9
71,12,8,4
72,11,14,11
73,18,10,6
74,15,9,6
75,11,2,3
76,2,19,4
77,4,9,13
78,7,14,16
79,13,5,19
80,2,18,5
81,9,2,15
82,17,18,18
83,6,7,20
84,8,19,6
85,7,8,7
86,16,15,6
87,3,15,9
88,11,19,15
89,8,17,19
90,3,5,15
91,6,11,18
92,15,15,1
93,20,11,18
94,5,19,13
95,7,19,16
96,20,15,6
97,2,17,4
98,18,7,2
99,7,1,9
100,2,3,11
101,9,13,2
102,14,17,13
103,15,14,12
104,5,8,9
105,5,18,17
106,3,4,1
107,15,5,4
108,9,3,2
109,10,11,9
110,11,17,13
111,4,8,1
112,9,5,13
113,11,4,1
114,13,10,13
115,12,9,17
116,14,20,17
117,12,1,8
118,1,4,4
119,19,18,8
120,13,16,14
121,18,16,15
122,11,20,4
123,2,2,1
124,5,13,19
125,20,15,12
126,1,6,12
127,17,6,19
128,12,19,1
129,10,7,14
130,7,18,16
131,5,3,4
132,19,16,2
133,17,17,19
134,10,9,8
135,12,20,2
136,7,11,13
137,18,12,6
138,10,1,11
139,15,16,3
140,1,6,14
141,5,6,5
142,13,6,7
143,6,20,18
144,3,19,3
145,8,16,9
146,19,14,7
147,20,18,3
148,17,10,18
149,18,20,19
150,1,19,9
151,18,8,19
152,1,8,6
153,10,13,10
154,2,2,12
155,17,18,16
156,7,8,2
157,19,17,18
158,18,8,6
159,10,8,12
160,15,16,9
161,13,5,13
162,17,8,4
163,13,6,10
164,19,20,3
