Date,red_sold,blue_sold,yellow_sold
1,14,16,12
2,18,11,3
3,11,20,15
4,2,5,6
5,18,17,8
6,3,19,3
7,5,5,11
8,5,11,11
9,13,20,20
10,17,19,15
11,7,6,1
12,11,15,16
13,15,15,8
14,5,20,13
15,20,13,11
16,14,3,12
17,18,6,10
18,6,5,12
19,13,12,19
20,8,11,11
21,15,12,5
22,18,8,5
23,15,1,1
24,2,12,18
25,15,4,18
26,1,14,5
27,12,5,8
28,14,19,16
29,3,4,12
30,15,14,3
31,17,15,4
32,10,19,18
33,14,19,18
34,18,18,6
35,13,6,8
36,4,5,2
37,13,4,8
38,3,11,8
39,12,16,10
40,2,15,18
41,20,11,12
42,19,3,8
43,4,20,8
44,3,1,9
45,19,3,11
46,5,3,14
47,18,12,16
48,4,8,8
49,7,5,4
50,6,16,2
51,8,3,10
52,3,11,16
53,18,3,9
54,15,9,20
55,19,3,16
56,7,6,5
57,14,6,8
58,18,20,20
59,9,13,7
60,20,20,18
61,7,4,9
62,11,20,6
63,6,4,8
64,14,10,12
65,14,11,18
66,1,7,3
67,2,6,16
68,12,15,20
69,10,5,1
70,10,13,9
71,9,1,20
72,19,13,13
73,11,9,2
74,10,20,3
75,8,6,16
76,13,8,15
77,4,19,1
78,4,8,1
79,16,7,1
80,8,15,10
81,7,5,4
82,20,2,8
83,1,4,10
84,11,14,7
85,1,15,16
86,15,18,2
87,7,13,16
88,18,3,20
89,15,12,7
90,20,16,18
91,3,8,1
92,20,15,11
93,3,7,17
94,15,19,3
95,20,19,5
96,20,9,3
97,12,17,13
98,10,13,18
99,13,11,4
100,16,20,8
101,13,7,8
102,15,8,7
103,20,18,3
104,16,1,17
105,17,8,5
106,2,11,13
107,14,17,18
108,13,15,15
109,8,8,6
110,6,5,8
111,10,20,4
112,3,11,16
113,16,6,6
114,19,18,20
115,17,2,3
116,3,20,2
117,15,8,10
118,7,14,15
119,16,15,17
120,16,10,16
121,6,8,11
122,5,3,17
123,17,4,19
124,15,11,20
125,10,1,19
126,16,17,14
127,18,11,11
128,11,18,15
129,8,2,15
130,14,19,19
131,7,18,4
132,1,2,8
133,5,11,8
134,6,20,3
135,12,9,18
136,19,4,3
137,13,1,5
138,14,13,16
139,18,2,5
140,12,20,19
141,2,1,7
142,2,20,1
143,16,2,8
144,20,17,13
145,3,4,18
146,14,6,6
147,11,20,7
148,6,6,10
149,15,4,18
150,3,1,8
151,7,8,16
152,15,14,11
153,14,2,10
154,19,4,16
155,5,9,4
156,15,15,3
157,4,3,5
158,15,20,1
159,10,17,11
160,14,4,6
161,9,11,19
162,7,16,13
163,9,13,16
164,14,16,20
165,4,5,12
166,17,3,14
167,4,9,19
168,14,6,7
169,14,5,6
170,1,11,2
171,13,13,9
172,20,19,13
173,17,12,4
174,8,16,20
175,18,12,10
176,18,14,14
177,3,1,9
178,19,8,10
179,1,14,7
180,4,2,20
181,5,17,3
182,9,4,8
183,7,13,6
184,2,10,13
185,9,18,4
186,18,6,9
187,7,2,14
188,18,1,11
189,15,6,14
190,18,18,2
191,6,10,5
192,18,9,20
193,20,7,2
194,8,14,20
195,2,20,12
