Date,red_sold,blue_sold,yellow_sold
1,2,20,1
2,14,16,2
3,10,1,11
4,18,9,6
5,20,18,5
6,3,5,6
7,15,7,16
8,9,6,10
9,5,20,9
10,15,8,7
11,5,6,17
12,9,16,2
13,19,1,18
14,19,17,7
15,10,9,3
16,19,2,1
17,11,16,12
18,17,20,20
19,15,9,7
20,9,15,1
21,11,5,10
22,16,1,19
23,3,7,10
24,12,13,9
25,5,5,1
26,11,2,15
27,9,7,8
28,18,14,4
29,14,4,1
30,5,17,1
31,10,1,20
32,8,15,3
33,17,18,3
34,9,5,4
35,5,8,2
36,10,18,10
37,9,10,10
38,13,4,14
39,1,7,3
40,14,7,10
41,11,18,20
42,8,15,5
43,3,14,11
44,1,5,5
45,20,20,16
46,3,20,14
47,3,12,15
48,12,10,17
49,16,12,15
50,9,11,9
51,17,5,7
52,6,14,6
53,15,11,10
54,17,3,2
55,11,3,14
56,11,5,10
57,2,8,11
58,5,6,19
59,13,4,7
60,13,11,2
61,18,7,20
62,4,17,8
63,1,5,14
64,7,18,8
65,20,10,1
66,12,2,1
67,3,1,11
68,11,5,10
69,16,7,14
70,12,10,9
71,18,8,6
72,19,19,1
73,4,15,9
74,3,7,19
75,2,16,12
76,9,18,6
77,18,1,8
78,7,18,3
79,16,14,5
80,13,18,13
81,19,20,19
82,19,19,20
83,15,8,12
84,19,9,10
85,10,2,20
86,14,1,15
87,14,3,16
88,2,12,3
89,13,16,1
90,2,15,3
91,4,3,15
92,11,8,11
93,11,5,16
94,19,15,3
95,19,9,8
96,19,2,1
97,18,7,16
98,19,8,14
99,6,11,15
100,9,3,20
101,10,4,13
102,19,19,14
103,7,5,2
104,5,8,8
105,6,5,14
106,8,16,19
107,6,9,19
108,3,2,7
109,19,16,10
110,16,12,15
111,6,3,2
112,1,9,3
113,17,15,6
114,6,4,20
115,10,15,8
116,5,16,10
117,4,16,14
118,7,12,12
119,9,13,6
120,4,9,20
121,6,3,8
122,12,16,17
123,10,8,16
124,8,1,11
125,2,11,4
126,15,20,1
127,14,16,16
128,17,4,7
129,15,12,4
130,17,1,12
131,3,8,8
132,17,9,8
133,20,5,1
134,2,16,6
135,19,15,1
136,5,18,20
137,19,13,14
138,17,6,18
139,3,9,13
140,16,16,15
141,4,2,6
142,5,3,20
143,13,19,11
144,10,16,20
145,18,12,2
146,3,9,18
147,5,10,10
148,17,10,2
149,17,7,3
150,8,11,13
151,13,19,12
152,6,5,11
153,17,19,4
154,7,11,4
155,12,12,6
156,7,4,10
157,4,16,15
158,19,12,6
159,10,15,15
160,9,11,4
161,10,10,12
162,19,10,15
163,10,6,10
164,7,5,4
165,2,3,12
166,19,6,11
167,20,16,6
168,9,4,9
169,19,4,13
170,2,18,8
171,7,14,10
172,5,9,19
173,17,17,9
174,16,6,13
175,9,9,8
176,13,16,7
177,18,17,6
178,15,12,6
179,13,11,9
180,9,6,10
181,14,18,12
182,16,7,11
183,20,1,17
184,12,17,14
185,17,12,6
186,15,16,7
187,13,18,16
188,18,8,5
189,18,2,16
190,3,2,19
191,5,3,18
192,14,17,17
193,20,10,11
194,7,11,7
195,16,19,7
196,20,17,11
197,5,4,18
198,6,7,5
199,4,16,1
200,9,10,11
201,20,1,14
202,13,6,15
203,2,14,4
204,2,12,15
205,14,6,14
206,9,11,18
207,11,12,8
208,20,5,12
209,4,17,9
210,10,19,16
211,10,7,14
212,10,11,16
213,17,18,12
214,6,2,3
215,3,5,8
216,12,19,12
217,17,9,16
218,1,20,5
219,4,11,12
220,15,1,6
221,17,11,14
222,14,3,5
223,6,5,16
224,1,2,20
225,9,4,6
226,17,1,19
227,17,18,16
228,19,14,15
229,9,15,18
230,10,6,19
231,1,6,2
232,5,8,7
233,3,19,3
234,8,4,4
235,16,2,14
236,14,12,6
237,13,12,5
238,7,3,14
239,2,11,10
240,12,12,4
241,13,5,11
242,11,11,6
243,4,17,15
244,8,6,6
245,7,3,3
246,4,20,12
247,14,2,8
248,3,3,18
249,6,11,7
250,12,16,8
251,4,11,1
252,7,13,10
253,14,9,1
254,9,2,20
255,15,18,3
256,15,13,10
257,11,20,6
258,14,20,18
259,18,2,8
260,16,1,16
261,8,9,4
262,9,2,15
263,3,3,10
264,3,16,17
265,4,10,10
266,6,18,9
267,16,14,11
268,18,7,1
269,16,6,17
270,1,12,7
271,11,5,20
272,4,7,3
273,11,17,20
274,18,3,10
275,19,5,9
276,12,18,2
277,17,18,6
278,19,15,20
279,13,14,15
280,17,10,3
281,6,14,8
282,10,18,2
283,13,2,10
284,3,11,12
285,11,11,8
286,12,14,16
287,9,10,16
288,8,3,17
289,16,17,13
290,2,11,11
291,19,6,20
292,12,11,2
293,17,14,6
294,10,17,8
295,7,16,16
296,11,17,6
297,5,13,12
298,18,17,18
299,7,20,7
300,2,3,5
301,8,4,13
302,7,3,9
303,20,10,19
304,12,8,12
305,12,4,11
306,9,3,17
307,16,18,14
308,14,11,7
309,18,18,5
310,14,14,14
311,8,12,1
312,16,4,13
313,18,4,19
314,18,13,5
315,4,5,4
316,16,11,17
317,7,6,9
318,20,1,13
319,1,3,18
320,17,17,1
321,18,13,20
322,9,14,3
323,8,8,20
324,13,3,5
325,11,5,9
326,5,17,3
327,15,11,14
328,14,11,2
329,12,9,8
330,7,13,11
331,14,20,18
332,14,6,17
333,3,14,19
334,20,10,9
335,20,10,10
336,1,11,11
337,10,11,14
338,9,16,9
339,4,6,13
340,13,13,13
341,10,18,2
342,10,19,20
343,1,18,6
344,2,11,18
345,13,15,3
346,6,6,16
347,19,14,6
348,5,5,12
349,6,8,18
350,10,8,20
351,18,19,16
352,15,10,18
353,16,19,15
354,2,1,12
355,17,4,3
356,6,12,11
357,12,5,20
358,16,2,17
359,8,16,1
360,17,10,19
361,17,12,1
362,11,12,5
363,2,15,8
364,14,6,3
365,3,20,11
366,5,11,20
367,7,14,16
368,2,4,8
369,18,16,14
370,8,10,1
371,9,2,4
372,2,20,9
373,6,1,4
374,1,2,7
375,8,3,14
376,18,3,10
377,12,6,7
378,19,11,3
379,18,1,14
380,14,2,5
381,18,2,11
382,14,11,16
383,7,18,14
384,5,20,15
385,7,10,12
386,2,16,17
387,9,3,17
388,6,11,7
389,5,3,19
390,2,1,14
391,17,4,18
392,14,15,17
393,1,4,19
394,1,18,3
395,7,2,20
396,4,10,10
397,17,7,11
398,19,8,3
399,7,10,6
400,19,9,1
401,18,7,2
402,5,18,13
403,7,12,4
404,8,9,6
405,5,9,13
406,12,19,12
407,13,11,8
408,19,17,13
409,9,2,20
410,13,2,17
411,18,12,14
412,19,13,1
413,6,3,8
414,1,15,10
415,19,8,10
416,1,20,6
417,11,6,10
418,4,11,17
419,1,19,19
420,3,2,7
421,10,5,15
422,19,13,18
423,17,14,12
424,4,4,20
425,3,5,1
426,12,16,9
427,16,18,17
428,12,14,9
429,12,16,7
430,9,13,2
431,13,8,6
432,6,13,16
433,14,16,14
434,10,11,17
435,13,14,2
436,2,5,15
437,10,1,17
438,16,7,20
439,4,4,4
440,4,17,19
441,13,12,2
442,7,6,19
443,14,8,20
444,11,7,18
445,16,2,10
446,12,1,17
447,17,18,1
448,12,19,3
449,2,20,14
450,14,18,11
451,10,17,19
452,15,8,19
453,9,11,20
454,2,2,2
455,18,7,2
456,14,18,4
457,20,19,4
458,12,2,20
459,3,2,7
460,20,20,1
461,14,2,8
462,2,17,18
463,2,10,11
464,16,5,18
465,8,12,14
466,5,5,6
467,9,10,5
468,8,18,13
469,19,14,12
470,13,9,19
471,6,2,3
472,2,17,16
473,7,15,2
474,7,11,14
475,12,14,4
476,13,5,19
477,5,19,3
478,8,16,8
479,9,19,10
480,11,12,4
481,18,15,18
482,2,3,6
483,16,1,7
484,2,9,17
485,1,3,8
486,16,4,19
487,12,12,2
488,19,10,3
489,20,10,6
490,19,19,1
491,15,15,7
492,11,3,3
493,14,11,16
494,6,5,20
495,5,15,6
496,19,4,15
497,20,3,3
498,15,13,14
499,18,19,1
500,5,3,10
501,20,6,2
502,16,19,10
503,19,13,11
504,7,20,11
505,3,13,11
506,4,9,8
507,10,8,11
508,8,4,4
509,20,15,5
510,15,20,16
511,17,12,3
512,20,20,12
513,12,3,18
514,7,3,6
515,7,12,5
516,3,16,20
517,11,14,11
518,14,10,9
519,11,4,20
520,1,1,3
521,2,7,1
522,2,12,14
523,14,1,10
524,17,17,20
525,5,2,2
526,9,7,12
527,9,20,16
528,15,7,9
529,9,6,10
530,7,1,1
531,3,6,7
532,8,5,8
533,14,4,3
534,16,17,3
535,15,9,4
536,17,1,11
537,5,15,3
538,6,18,19
539,14,19,1
540,12,1,4
541,5,1,3
542,7,20,1
543,6,5,1
544,5,19,1
545,12,16,2
546,1,8,6
547,12,12,17
548,17,12,14
549,5,15,3
550,14,9,7
551,5,11,16
552,20,15,8
553,13,17,4
554,19,14,3
555,19,12,20
556,4,1,10
557,14,8,11
558,2,19,3
559,2,3,7
560,9,2,13
561,12,20,13
562,15,18,15
563,18,17,10
564,8,10,5
565,12,13,2
566,17,11,4
567,9,7,2
568,17,12,2
569,2,2,12
570,13,15,9
571,12,2,12
572,16,20,3
573,8,13,4
574,15,15,14
575,16,6,13
576,14,3,16
577,11,9,5
578,12,20,17
579,14,15,6
580,11,5,13
581,13,19,8
582,18,1,19
583,7,4,18
584,2,16,13
585,15,16,11
586,5,17,16
587,16,8,5
588,6,19,10
589,12,14,10
590,17,16,20
591,8,11,20
592,18,2,18
593,15,14,1
594,4,15,10
595,4,2,4
596,3,16,18
597,1,19,14
598,11,7,20
599,10,17,17
600,17,7,16
601,4,5,2
602,14,19,15
603,14,19,12
604,2,11,13
605,3,5,7
606,2,12,2
607,15,12,12
608,20,1,5
609,5,15,12
610,6,15,19
611,7,14,15
612,4,5,6
613,5,9,11
614,12,7,13
615,12,2,5
616,1,11,11
617,13,6,20
618,4,10,10
619,11,7,12
620,10,17,4
621,10,16,8
622,8,11,8
623,12,17,12
624,1,17,8
625,4,1,11
626,15,11,20
627,5,15,1
628,18,5,16
629,6,1,13
630,16,15,18
631,17,13,12
632,1,13,15
633,17,20,3
634,3,3,17
635,6,15,13
636,8,17,9
637,4,9,6
638,1,15,5
639,8,17,2
640,12,7,1
641,14,13,6
642,14,2,11
643,13,2,14
644,18,5,9
645,15,18,3
646,14,15,3
647,12,7,12
648,7,17,14
649,9,11,17
650,9,6,2
651,19,2,20
652,6,12,12
653,13,4,16
654,10,1,15
655,11,2,2
656,1,17,19
657,12,11,5
658,11,10,13
659,12,2,18
660,9,6,5
661,5,8,5
662,12,12,11
663,19,16,14
664,5,11,10
665,17,18,6
666,18,17,11
667,16,13,15
668,19,14,9
669,4,17,4
670,18,6,15
671,2,4,18
672,7,9,16
673,4,2,8
674,6,15,1
675,14,12,2
676,10,10,13
677,6,1,12
678,12,17,8
679,17,5,6
680,6,4,3
681,13,17,2
682,16,4,14
683,19,19,19
684,9,19,4
685,8,4,19
686,6,17,7
687,6,2,4
688,6,10,18
689,4,7,10
690,12,17,11
691,20,20,13
692,15,17,18
693,9,18,2
694,11,4,20
695,13,8,8
696,12,10,20
697,15,8,8
698,8,8,15
699,11,14,16
700,10,6,12
701,4,9,10
702,5,1,2
703,15,20,10
704,18,19,15
705,4,7,12
706,13,6,20
707,16,5,2
708,5,15,6
709,7,10,4
710,8,20,17
711,3,10,3
712,6,9,17
713,16,6,1
714,15,11,17
715,15,1,19
716,4,2,16
717,7,15,20
718,18,15,17
719,18,1,16
720,12,5,13
721,18,20,18
722,17,15,11
723,17,4,10
724,18,7,11
725,3,12,6
726,20,2,18
727,17,12,14
728,14,18,9
729,13,4,15
730,2,17,10
731,4,17,13
732,5,16,9
733,1,12,15
734,13,16,1
735,18,12,7
736,9,18,19
737,17,16,11
738,15,18,2
739,19,13,12
740,20,2,4
741,13,3,17
742,2,9,17
743,17,13,10
744,6,5,6
745,5,16,13
746,13,6,19
747,3,15,4
748,9,4,16
749,15,7,10
750,8,8,14
751,5,6,1
752,10,6,1
753,6,20,2
754,1,3,4
755,7,18,20
756,12,19,2
757,8,14,9
758,9,4,12
759,10,9,11
760,20,13,20
761,15,18,3
762,19,16,5
763,9,2,18
764,19,10,17
765,2,16,9
766,5,8,4
767,2,10,4
768,9,18,20
769,18,20,5
