Date,red_sold,blue_sold,yellow_sold
1,14,15,7
2,14,9,14
3,14,15,16
4,14,17,18
5,6,19,18
6,11,17,6
7,13,19,5
8,15,3,7
9,7,14,19
10,14,19,4
11,2,2,2
12,6,10,3
13,3,19,2
14,11,7,18
15,11,10,14
16,15,14,19
17,17,6,12
18,4,1,7
19,8,2,6
20,11,8,10
21,5,12,10
22,1,1,5
23,13,2,1
24,8,14,19
25,19,13,16
26,20,2,2
27,12,14,3
28,6,8,8
29,17,19,14
30,8,4,17
31,14,9,4
32,7,7,12
33,15,20,2
34,20,9,16
35,14,20,8
36,14,14,17
37,3,1,20
38,9,14,10
39,12,17,12
40,5,16,19
41,20,16,14
42,1,14,2
43,8,7,18
44,2,11,2
45,19,18,8
46,3,9,15
47,16,12,19
48,12,2,6
49,2,7,17
50,12,11,7
51,1,5,18
52,4,11,11
53,7,11,11
54,20,8,20
55,14,3,12
56,4,3,11
57,8,15,6
58,12,18,9
59,13,19,11
60,4,15,1
61,13,16,3
62,9,5,17
63,13,19,5
64,5,16,19
65,15,15,8
66,4,7,11
67,10,4,18
68,7,5,8
69,19,5,6
70,16,18,11
71,11,18,10
72,15,3,13
73,3,2,20
74,10,13,5
75,6,9,10
76,13,19,11
77,15,4,18
78,18,6,15
79,20,13,8
80,3,19,11
81,5,15,17
82,12,8,20
83,2,15,19
84,10,5,14
85,9,13,9
86,12,18,5
87,12,15,11
88,15,8,18
89,19,20,15
90,8,19,12
91,17,3,1
92,4,19,4
93,1,12,8
94,6,6,1
95,1,1,10
96,20,12,16
97,4,1,16
98,10,20,20
99,20,16,9
100,7,3,18
101,9,17,10
102,3,6,9
103,17,20,14
104,4,3,17
105,2,14,15
106,13,15,17
107,15,14,18
108,18,9,1
109,9,3,1
110,17,3,6
111,5,5,16
112,18,18,14
113,20,7,15
114,17,9,9
115,15,20,2
116,10,16,17
117,1,2,14
118,16,20,2
119,19,8,10
120,10,17,14
121,4,2,4
122,4,10,1
123,14,12,6
124,19,3,11
125,19,4,7
126,11,4,16
127,15,2,12
128,19,3,8
129,10,11,11
130,20,18,19
131,20,9,3
132,1,10,17
133,8,9,4
134,9,17,9
135,18,7,15
136,18,14,7
137,15,10,17
138,17,4,7
139,2,19,16
140,1,14,12
141,1,14,8
142,16,14,14
143,8,1,3
144,6,18,14
145,3,9,2
146,16,19,1
147,10,8,2
148,11,1,8
149,7,4,1
150,15,8,16
151,2,8,4
152,2,19,6
153,2,10,1
154,5,2,15
155,20,17,14
156,17,9,6
157,7,9,20
158,9,20,3
159,16,13,20
160,2,5,8
161,20,18,15
162,7,20,18
163,20,7,12
164,17,2,10
165,17,10,3
166,19,4,3
167,12,18,14
168,7,15,3
169,16,13,16
170,12,17,4
171,7,15,7
172,3,11,7
173,15,17,4
174,10,4,15
175,2,20,16
176,10,11,20
