Date,red_sold,blue_sold,yellow_sold
1,9,3,8
2,20,12,16
3,10,13,14
4,12,3,15
5,4,18,3
6,6,19,6
7,6,9,4
8,2,11,5
9,7,18,10
10,9,15,2
11,6,4,4
12,11,13,9
13,4,4,11
14,20,5,2
15,12,9,14
16,20,9,18
17,3,19,12
18,5,15,20
19,11,2,13
20,10,19,5
21,4,4,16
22,8,17,17
23,9,12,6
24,15,9,1
25,3,7,10
26,5,3,8
27,5,2,19
28,4,8,11
29,1,16,16
30,9,5,10
31,10,16,5
32,11,1,20
33,17,8,3
34,20,7,14
35,3,20,3
36,16,18,16
37,1,9,10
38,19,11,19
39,6,11,1
40,10,10,16
41,10,9,19
42,8,1,20
43,7,20,7
44,6,7,20
45,13,3,11
46,8,19,9
47,3,18,11
48,3,12,5
49,11,17,11
50,18,19,3
51,13,12,11
52,5,8,8
53,4,20,20
54,14,2,11
55,8,2,8
56,10,15,14
57,20,13,16
58,5,5,11
59,6,6,20
60,19,8,11
61,4,16,15
62,12,16,20
63,11,4,19
64,5,6,2
65,7,18,3
66,12,5,4
67,3,7,17
68,20,16,10
69,15,12,12
70,2,15,3
71,10,9,15
72,2,15,12
73,15,17,14
74,20,1,10
75,1,18,5
76,12,2,17
77,19,12,7
78,4,18,11
79,14,12,17
80,5,8,2
81,17,19,1
82,1,7,19
83,1,18,7
84,13,17,13
85,12,6,16
86,14,11,14
87,9,7,3
88,12,1,3
89,10,1,10
90,4,3,20
91,13,12,4
92,18,17,11
93,2,19,18
94,1,2,5
95,16,12,13
96,4,20,7
97,16,18,16
98,2,18,17
99,18,4,11
100,11,15,8
101,11,13,14
102,15,20,2
103,1,10,19
104,17,9,3
105,4,6,12
106,16,6,17
107,10,5,20
108,20,20,4
109,5,16,3
110,16,11,7
111,18,13,15
112,10,9,14
113,15,11,10
114,4,20,13
115,5,1,16
116,11,5,17
117,3,5,4
118,11,19,9
119,5,10,7
120,15,3,1
121,6,15,16
122,14,10,20
123,17,10,5
124,8,13,7
125,17,7,6
126,19,17,13
127,14,20,15
128,8,7,4
129,9,1,6
130,4,7,20
131,13,12,9
132,14,9,12
133,20,6,12
134,2,16,6
135,17,8,12
136,10,12,18
137,17,20,15
138,17,8,12
139,4,15,1
140,11,13,2
141,10,11,17
142,4,18,17
143,15,11,2
144,8,10,4
145,7,19,16
146,20,6,17
147,9,7,18
148,1,15,12
149,4,5,14
150,5,5,19
151,19,10,4
152,1,2,3
153,5,2,6
154,19,12,3
155,3,19,1
156,8,14,9
157,7,11,9
158,5,10,19
159,5,1,12
160,1,18,7
161,20,20,9
162,6,6,17
163,15,1,9
164,2,16,9
165,14,18,9
166,12,8,7
167,1,20,17
168,7,17,14
169,17,11,9
170,9,15,15
171,7,12,4
172,16,7,7
173,15,3,4
174,12,8,5
175,13,14,12
176,18,6,14
177,10,14,2
178,18,6,18
179,6,4,19
180,2,7,5
181,17,1,1
182,15,11,17
183,17,2,19
184,11,19,17
185,2,19,19
186,13,1,18
187,6,18,4
188,17,12,5
189,14,17,18
190,17,5,8
191,14,5,14
192,16,10,6
193,6,19,17
194,10,13,17
195,11,16,18
196,11,6,16
197,6,16,6
198,5,11,17
199,2,11,1
200,17,9,4
201,19,8,11
202,8,1,13
203,20,3,11
204,19,12,7
205,17,2,16
206,18,6,8
207,19,17,19
208,8,19,9
209,11,16,13
210,20,11,9
211,6,14,5
212,10,18,19
213,10,18,7
214,2,10,6
215,6,2,1
216,19,19,18
217,3,9,8
218,3,19,16
219,1,1,20
220,15,12,17
221,6,4,12
222,16,12,12
223,9,1,10
224,17,15,1
225,2,1,19
226,8,7,6
227,4,3,18
228,13,1,15
229,16,7,15
230,9,19,11
231,19,8,8
232,1,7,7
233,18,1,15
234,19,13,13
235,3,11,5
236,5,19,10
237,5,15,11
238,8,19,2
239,10,20,18
240,17,5,6
241,6,14,16
242,18,8,3
243,12,11,2
244,13,9,15
245,12,14,20
246,10,10,17
247,11,4,3
248,2,18,18
249,19,19,19
250,3,17,9
251,9,5,8
252,18,11,14
253,19,14,6
254,10,12,7
255,6,1,14
256,6,15,19
257,7,18,12
258,4,10,9
259,3,18,3
260,11,16,16
261,10,16,4
262,13,3,2
263,17,19,15
264,2,19,19
265,9,5,17
266,9,12,15
267,5,13,20
268,6,14,11
269,14,20,20
270,6,12,15
271,8,16,5
272,16,1,18
273,12,19,6
274,13,2,17
275,8,14,19
276,15,20,16
277,2,3,15
278,11,14,7
279,14,10,17
280,16,1,1
281,6,16,16
282,3,14,4
283,4,19,15
284,5,4,15
285,8,9,18
286,15,1,14
287,20,7,11
288,19,4,18
289,6,10,1
290,6,17,12
291,2,9,2
292,3,4,4
293,19,17,17
294,5,12,5
295,20,7,8
296,5,12,15
297,20,9,5
298,7,1,7
299,13,5,3
300,6,16,2
301,18,14,18
302,5,2,11
303,7,9,2
304,15,12,11
305,8,10,1
306,6,9,20
307,12,1,11
308,18,10,15
309,11,1,12
310,7,9,2
311,15,20,19
312,8,5,10
313,19,15,1
314,4,3,13
315,16,14,9
316,20,16,11
317,8,20,20
318,12,17,8
319,15,15,18
320,12,16,13
321,20,4,4
322,9,5,5
323,18,13,12
324,17,11,12
325,19,6,11
326,8,16,12
327,20,4,8
328,2,5,7
329,18,12,11
330,4,1,20
331,11,9,8
332,6,13,19
333,15,7,10
334,2,18,5
335,9,11,7
336,18,13,16
337,17,9,5
